raman_shift;e00;e10;e_unknown
3504.368114;114894.8193;16949.44904;68139.39454
3508.109028;113448.3481;16524.12537;66844.58728
3512.081745;111571.9072;16097.85417;65503.92184
3516.052398;109914.4966;15572.63494;64420.39772
3520.020988;108293.1165;15116.46721;63029.0144
3523.754249;106441.7668;14677.35048;61657.77138
3527.718841;104486.4475;14178.28426;60276.66814
3531.681374;102325.1588;13718.26804;58839.70416
3535.641852;100509.9007;13219.30135;57478.87891
3539.367483;98477.67317;12665.38367;55866.19188
3543.323974;96482.47629;12183.51452;54589.64252
3547.278413;94477.31009;11756.69338;53167.23031
3551.230803;92617.17461;11280.91975;51763.9547
3554.948828;90625.06989;10826.19312;50368.81517
3558.897243;88751.99596;10415.513;48897.81115
3562.843613;86930.95288;9961.878871;47586.94211
3566.555977;85019.94066;9569.290222;46293.20748
3570.498381;83176.95935;9185.746543;44977.60672
3574.438746;81391.00897;8814.247322;43689.13925
3578.145461;79480.08957;8441.792044;42486.80452
3582.081869;77754.20117;8110.380194;41194.60196
3586.016241;75954.34381;7840.011256;40106.53099
3589.948578;74278.51751;7505.684712;38844.59103
3593.647745;72361.7223;7154.400044;37657.78151
3597.576139;70610.9582;6899.15673;36467.10184
3601.502503;68906.22525;6666.954251;35335.55143
3605.196051;67167.52347;6398.792085;34253.12968
3609.11848;65556.85286;6104.669707;33252.83601
3613.038883;63853.21346;5880.586596;32211.66981
3616.726827;62184.60529;5638.542226;31191.63048
3620.643304;60681.02834;5433.536071;30236.7174
3624.557761;58959.48264;5253.567605;29300.92998
3628.240111;57404.9682;5188.636301;28510.26758
3632.150651;55740.48502;5073.741631;27607.7296
3636.059174;54028.03311;4982.883066;26705.31542
3639.735945;52203.61247;4852.060076;25755.0244
3643.64056;50258.22309;4770.272132;24910.85592
3647.543164;48108.86498;4523.518703;23814.80935
3651.214367;45997.53813;4190.799256;22834.88406
3655.113071;43833.24251;3822.11326;22021.07939
3658.780607;41550.97814;3464.460181;21145.39472
3662.675417;39060.74497;3129.839487;20169.8294
3666.568224;36672.543;2808.250643;19383.38279
3670.230213;34109.37221;2599.693115;18401.05422
3674.119135;31630.23255;2401.166368;17637.84306
3678.006058;29097.12402;2279.669866;16621.74865
3681.662514;26661.04656;2163.203075;15553.77033
3685.54556;24340.00015;2072.765458;14547.90744
3689.19837;22093.98474;1998.356479;13367.15932
3693.077546;20075.0003;1995.975602;12288.52531
3696.954731;18200.04678;1875.622289;11101.00474
3700.602028;16514.12413;1834.296003;9948.596945
3704.475351;15017.23229;1631.996208;9007.301258
3708.119016;13585.37123;1493.722366;8070.117007
3711.988484;12364.54088;1404.473937;7281.043522
3715.855967;11263.7412;1295.250386;6576.08013
3719.49414;10266.97211;1229.051172;5974.226157
3723.357776;9346.233565;1157.875758;5456.48093
3726.992331;8571.525501;1216.723605;5038.843773
3730.852125;7870.847857;1161.594173;4606.314009
3734.483067;7196.200568;1046.486925;4171.890962
3738.339026;6557.583571;1019.40132;3886.573954
3742.193011;6092.9968;978.3368194;3584.362307
3745.81849;5575.440189;920.2928835;3314.255343
3749.668648;5181.913669;965.2689725;3140.252381
3753.290527;4787.417173;925.2645466;2939.352742
3757.136864;4502.950632;886.2790659;2756.555746
3760.755149;4187.513976;920.3119901;2615.860712
3764.59767;3895.107134;969.3627792;2502.266959
3768.212367;3672.730037;1039.430893;2377.773805
3772.051078;3424.382611;1089.51579;2198.380569
3775.662192;3244.064785;1221.61693;2168.086568
3779.497099;3071.776487;1268.733773;1978.891119
3783.330048;2872.517643;1316.865777;2022.79354
3786.935743;2754.288179;1375.012401;1954.793148
3790.764897;2564.088022;1287.173103;1838.889258
3794.367022;2491.917097;1161.347343;1792.081188
3798.192385;2285.775329;1014.534578;1601.368252
3801.790946;2208.662644;945.7342653;1455.749767
